interaction_id,agent_name,age,gender,agent_type,response_time_s,satisfaction_score,resolution_rate
1,Emily,28,female,Human,4.91,84,1
2,Michael,35,male,AI,4.27,90,1
3,Sophia,42,female,Human,4.76,76,1
4,James,45,male,AI,3.08,84,1
5,Emma,30,female,Human,5.22,81,1
6,Olivia,22,female,AI,5.21,69,1
7,Alexander,38,male,Human,3.72,60,0
8,Ava,27,female,AI,4.92,84,1
9,Ethan,33,male,Human,4.5,83,1
10,Isabella,31,female,AI,5.08,82,1
11,Liam,29,male,Human,5.83,74,1
12,Mia,24,female,AI,3.73,94,1
13,Noah,40,male,Human,5.84,71,1
14,Charlotte,36,female,AI,2.72,67,1
15,William,32,male,Human,5.31,63,1
16,Avery,25,female,AI,3.34,93,1
17,Evelyn,37,female,Human,5.27,69,1
18,Logan,31,male,AI,4.37,65,1
19,Abigail,28,female,Human,2.72,66,1
20,Jackson,34,male,AI,4.21,69,0
21,Madison,26,female,Human,5.02,69,1
22,Elijah,33,male,AI,3.03,67,0
23,Chloe,39,female,Human,4.69,72,0
24,Mateo,30,male,AI,4.85,95,1
25,Harper,27,female,Human,3.63,68,1
26,Evelyn,35,female,AI,5.69,76,1
27,Daniel,41,male,Human,4.92,80,1
28,Lily,29,female,AI,5.61,78,0
29,Henry,38,male,Human,5.97,98,0
30,Addison,32,female,AI,5.31,65,1
